Sample in Buffer,Sample in Window,TRIGGER,u_stress/agent_00/rx_tdest_dbg[3:0],u_stress/agent_00/rx_vc0_cnt[31:0],u_stress/agent_00/rx_vc1_cnt[31:0],u_stress/agent_00/rx_err_cnt[31:0],u_stress/agent_00/state_dbg[1:0],u_stress/agent_00/tx_flit_cnt[31:0],u_stress/agent_00/tx_stall_cnt[31:0],u_stress/agent_00/test_done
Radix - UNSIGNED,UNSIGNED,UNSIGNED,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX
725,725,0,0,0025c1e6,0025c1e0,00000000,1,004b853c,001e34e8,0
726,726,0,0,0025c1e7,0025c1e0,00000000,1,004b853d,001e34e8,0
727,727,0,0,0025c1e8,0025c1e0,00000000,1,004b853e,001e34e8,0
728,728,0,0,0025c1e8,0025c1e0,00000000,1,004b853f,001e34e8,0
729,729,0,0,0025c1e9,0025c1e0,00000000,1,004b8540,001e34e8,0
730,730,0,0,0025c1ea,0025c1e0,00000000,1,004b8541,001e34e8,0
731,731,0,0,0025c1eb,0025c1e0,00000000,1,004b8542,001e34e8,0
732,732,0,0,0025c1ec,0025c1e0,00000000,1,004b8543,001e34e8,0
733,733,0,0,0025c1ec,0025c1e0,00000000,1,004b8544,001e34e8,0
734,734,0,0,0025c1ed,0025c1e0,00000000,1,004b8544,001e34e9,0
735,735,0,0,0025c1ee,0025c1e0,00000000,1,004b8544,001e34ea,0
736,736,0,0,0025c1ee,0025c1e0,00000000,1,004b8544,001e34eb,0
737,737,0,0,0025c1ef,0025c1e0,00000000,1,004b8544,001e34ec,0
738,738,0,0,0025c1ef,0025c1e0,00000000,1,004b8544,001e34ed,0
739,739,0,0,0025c1f0,0025c1e0,00000000,1,004b8544,001e34ee,0
740,740,0,0,0025c1f0,0025c1e1,00000000,1,004b8544,001e34ef,0
741,741,0,0,0025c1f0,0025c1e2,00000000,1,004b8544,001e34f0,0
742,742,0,0,0025c1f0,0025c1e3,00000000,1,004b8544,001e34f1,0
743,743,0,0,0025c1f0,0025c1e3,00000000,1,004b8545,001e34f1,0
744,744,0,0,0025c1f0,0025c1e4,00000000,1,004b8546,001e34f1,0
745,745,0,0,0025c1f0,0025c1e5,00000000,1,004b8547,001e34f1,0
746,746,0,0,0025c1f0,0025c1e6,00000000,1,004b8547,001e34f2,0
747,747,0,0,0025c1f0,0025c1e6,00000000,1,004b8548,001e34f2,0
748,748,0,0,0025c1f0,0025c1e6,00000000,1,004b8549,001e34f2,0
749,749,0,0,0025c1f0,0025c1e7,00000000,1,004b854a,001e34f2,0
750,750,0,0,0025c1f0,0025c1e8,00000000,1,004b854b,001e34f2,0
751,751,0,0,0025c1f0,0025c1e9,00000000,1,004b854b,001e34f3,0
752,752,0,0,0025c1f0,0025c1ea,00000000,1,004b854c,001e34f3,0
753,753,0,0,0025c1f0,0025c1ea,00000000,1,004b854d,001e34f3,0
754,754,0,0,0025c1f0,0025c1eb,00000000,1,004b854e,001e34f3,0
755,755,0,0,0025c1f0,0025c1ec,00000000,1,004b854f,001e34f3,0
756,756,0,0,0025c1f0,0025c1ed,00000000,1,004b854f,001e34f4,0
757,757,0,0,0025c1f0,0025c1ee,00000000,1,004b8550,001e34f4,0
758,758,0,0,0025c1f0,0025c1ee,00000000,1,004b8551,001e34f4,0
759,759,0,0,0025c1f0,0025c1ee,00000000,1,004b8552,001e34f4,0
760,760,0,0,0025c1f0,0025c1ef,00000000,1,004b8553,001e34f4,0
761,761,0,0,0025c1f0,0025c1f0,00000000,1,004b8554,001e34f4,0
762,762,0,0,0025c1f1,0025c1f0,00000000,1,004b8555,001e34f4,0
763,763,0,0,0025c1f1,0025c1f0,00000000,1,004b8556,001e34f4,0
764,764,0,0,0025c1f2,0025c1f0,00000000,1,004b8557,001e34f4,0
765,765,0,0,0025c1f3,0025c1f0,00000000,1,004b8558,001e34f4,0
766,766,0,0,0025c1f4,0025c1f0,00000000,1,004b8559,001e34f4,0
767,767,0,0,0025c1f5,0025c1f0,00000000,1,004b855a,001e34f4,0
768,768,0,0,0025c1f5,0025c1f0,00000000,1,004b855b,001e34f4,0
769,769,0,0,0025c1f6,0025c1f0,00000000,1,004b855c,001e34f4,0
770,770,0,0,0025c1f7,0025c1f0,00000000,1,004b855d,001e34f4,0
771,771,0,0,0025c1f7,0025c1f0,00000000,1,004b855e,001e34f4,0
772,772,0,0,0025c1f8,0025c1f0,00000000,1,004b855f,001e34f4,0
773,773,0,0,0025c1f8,0025c1f0,00000000,1,004b8560,001e34f4,0
774,774,0,0,0025c1f9,0025c1f0,00000000,1,004b8561,001e34f4,0
775,775,0,0,0025c1fa,0025c1f0,00000000,1,004b8562,001e34f4,0
776,776,0,0,0025c1fb,0025c1f0,00000000,1,004b8563,001e34f4,0
777,777,0,0,0025c1fc,0025c1f0,00000000,1,004b8564,001e34f4,0
778,778,0,0,0025c1fc,0025c1f0,00000000,1,004b8564,001e34f5,0
779,779,0,0,0025c1fd,0025c1f0,00000000,1,004b8564,001e34f6,0
780,780,0,0,0025c1fe,0025c1f0,00000000,1,004b8564,001e34f7,0
781,781,0,0,0025c1ff,0025c1f0,00000000,1,004b8564,001e34f8,0
782,782,0,0,0025c1ff,0025c1f0,00000000,1,004b8564,001e34f9,0
783,783,0,0,0025c1ff,0025c1f0,00000000,1,004b8564,001e34fa,0
784,784,0,0,0025c200,0025c1f0,00000000,1,004b8564,001e34fb,0
785,785,0,0,0025c200,0025c1f1,00000000,1,004b8564,001e34fc,0
786,786,0,0,0025c200,0025c1f2,00000000,1,004b8564,001e34fd,0
787,787,0,0,0025c200,0025c1f3,00000000,1,004b8565,001e34fd,0
788,788,0,0,0025c200,0025c1f3,00000000,1,004b8565,001e34fe,0
789,789,0,0,0025c200,0025c1f4,00000000,1,004b8566,001e34fe,0
790,790,0,0,0025c200,0025c1f5,00000000,1,004b8567,001e34fe,0
791,791,0,0,0025c200,0025c1f6,00000000,1,004b8567,001e34ff,0
