Sample in Buffer,Sample in Window,TRIGGER,u_stress/agent_11/state_dbg[1:0],u_stress/agent_11/tx_flit_cnt[31:0],u_stress/agent_11/tx_stall_cnt[31:0],u_stress/agent_11/rx_vc1_cnt[31:0],u_stress/agent_11/rx_err_cnt[31:0],u_stress/agent_11/rx_tdest_dbg[3:0],u_stress/agent_11/rx_vc0_cnt[31:0],u_stress/agent_11/test_done
Radix - UNSIGNED,UNSIGNED,UNSIGNED,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX
303,303,0,1,00b61cfc,00000000,005b0f28,00000000,5,005b0eee,0
304,304,0,1,00b61cfd,00000000,005b0f29,00000000,5,005b0eee,0
305,305,0,1,00b61cfe,00000000,005b0f2a,00000000,5,005b0eee,0
306,306,0,1,00b61cff,00000000,005b0f2b,00000000,5,005b0eee,0
307,307,0,1,00b61d00,00000000,005b0f2c,00000000,5,005b0eee,0
308,308,0,1,00b61d01,00000000,005b0f2d,00000000,5,005b0eee,0
309,309,0,1,00b61d02,00000000,005b0f2e,00000000,5,005b0eee,0
310,310,0,1,00b61d03,00000000,005b0f2f,00000000,5,005b0eee,0
311,311,0,1,00b61d04,00000000,005b0f30,00000000,5,005b0eee,0
312,312,0,1,00b61d05,00000000,005b0f30,00000000,5,005b0eef,0
313,313,0,1,00b61d06,00000000,005b0f30,00000000,5,005b0ef0,0
314,314,0,1,00b61d07,00000000,005b0f30,00000000,5,005b0ef1,0
315,315,0,1,00b61d08,00000000,005b0f30,00000000,5,005b0ef2,0
316,316,0,1,00b61d09,00000000,005b0f30,00000000,5,005b0ef3,0
317,317,0,1,00b61d0a,00000000,005b0f30,00000000,5,005b0ef4,0
318,318,0,1,00b61d0b,00000000,005b0f30,00000000,5,005b0ef5,0
319,319,0,1,00b61d0c,00000000,005b0f30,00000000,5,005b0ef6,0
320,320,0,1,00b61d0d,00000000,005b0f30,00000000,5,005b0ef7,0
321,321,0,1,00b61d0e,00000000,005b0f30,00000000,5,005b0ef8,0
322,322,0,1,00b61d0f,00000000,005b0f30,00000000,5,005b0ef9,0
323,323,0,1,00b61d10,00000000,005b0f30,00000000,5,005b0efa,0
324,324,0,1,00b61d11,00000000,005b0f30,00000000,5,005b0efb,0
