Sample in Buffer,Sample in Window,TRIGGER,uut_noc_top/mon_stall_cnt[31:0],uut_noc_top/mon_rx_stall_cnt[31:0],uut_noc_top/mon_rx_pkt_cnt[31:0],uut_noc_top/mon_active_cnt[31:0],uut_noc_top/mon_flit_cnt[31:0],uut_noc_top/mon_rx_active_cnt[31:0],uut_noc_top/mon_pkt_cnt[31:0],uut_noc_top/mon_rx_flit_cnt[31:0],u_stress/agent_00/tx_stall_cnt[31:0],u_stress/agent_00/rx_err_cnt[31:0],u_stress/agent_00/rx_vc1_cnt[31:0],u_stress/agent_00/rx_vc0_cnt[31:0],u_stress/agent_00/tx_flit_cnt[31:0],u_stress/agent_00/state_dbg[1:0],u_stress/agent_00/rx_tdest_dbg[3:0],u_stress/agent_00/test_done
Radix - UNSIGNED,UNSIGNED,UNSIGNED,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX
125,125,0,00000000,00000000,000ee50f,3d174f98,00000000,3d174f98,00000000,00ee50fb,00000000,00000000,0063520a,00635185,00000000,3,0,1
126,126,0,00000000,00000000,000ee50f,3d174f99,00000000,3d174f99,00000000,00ee50fb,00000000,00000000,0063520a,00635185,00000000,3,0,1
127,127,0,00000000,00000000,000ee50f,3d174f9a,00000000,3d174f9a,00000000,00ee50fb,00000000,00000000,0063520a,00635185,00000000,3,0,1
128,128,0,00000000,00000000,000ee50f,3d174f9b,00000000,3d174f9b,00000000,00ee50fb,00000000,00000000,0063520a,00635185,00000000,3,0,1
129,129,0,00000000,00000000,000ee50f,3d174f9c,00000000,3d174f9c,00000000,00ee50fb,00000000,00000000,0063520a,00635185,00000000,3,0,1
130,130,0,00000000,00000000,000ee50f,3d174f9d,00000000,3d174f9d,00000000,00ee50fb,00000000,00000000,0063520a,00635185,00000000,3,0,1
131,131,0,00000000,00000000,000ee50f,3d174f9e,00000000,3d174f9e,00000000,00ee50fb,00000000,00000000,0063520a,00635185,00000000,3,0,1
132,132,0,00000000,00000000,000ee50f,3d174f9f,00000000,3d174f9f,00000000,00ee50fb,00000000,00000000,0063520a,00635185,00000000,3,0,1
133,133,0,00000000,00000000,000ee50f,3d174fa0,00000000,3d174fa0,00000000,00ee50fb,00000000,00000000,0063520a,00635185,00000000,3,0,1
134,134,0,00000000,00000000,000ee50f,3d174fa1,00000000,3d174fa1,00000000,00ee50fb,00000000,00000000,0063520a,00635185,00000000,3,0,1
135,135,0,00000000,00000000,000ee50f,3d174fa2,00000000,3d174fa2,00000000,00ee50fb,00000000,00000000,0063520a,00635185,00000000,3,0,1
136,136,0,00000000,00000000,000ee50f,3d174fa3,00000000,3d174fa3,00000000,00ee50fb,00000000,00000000,0063520a,00635185,00000000,3,0,1
137,137,0,00000000,00000000,000ee50f,3d174fa4,00000000,3d174fa4,00000000,00ee50fb,00000000,00000000,0063520a,00635185,00000000,3,0,1
138,138,0,00000000,00000000,000ee50f,3d174fa5,00000000,3d174fa5,00000000,00ee50fb,00000000,00000000,0063520a,00635185,00000000,3,0,1
139,139,0,00000000,00000000,000ee50f,3d174fa6,00000000,3d174fa6,00000000,00ee50fb,00000000,00000000,0063520a,00635185,00000000,3,0,1
140,140,0,00000000,00000000,000ee50f,3d174fa7,00000000,3d174fa7,00000000,00ee50fb,00000000,00000000,0063520a,00635185,00000000,3,0,1
141,141,0,00000000,00000000,000ee50f,3d174fa8,00000000,3d174fa8,00000000,00ee50fb,00000000,00000000,0063520a,00635185,00000000,3,0,1
142,142,0,00000000,00000000,000ee50f,3d174fa9,00000000,3d174fa9,00000000,00ee50fb,00000000,00000000,0063520a,00635185,00000000,3,0,1
143,143,0,00000000,00000000,000ee50f,3d174faa,00000000,3d174faa,00000000,00ee50fb,00000000,00000000,0063520a,00635185,00000000,3,0,1
144,144,0,00000000,00000000,000ee50f,3d174fab,00000000,3d174fab,00000000,00ee50fb,00000000,00000000,0063520a,00635185,00000000,3,0,1
